Comment,Designator,Footprint,LCSC Part #
1k,R1 R10 R11 R12 R13 R14 R15 R16 R17,0603,
20,R2 R3 R4 R5 R6 R7 R8 R9,RESC3224X71,
100nF,C1 C2 C3 C4,WCAP-CSGP_0603_W,
ICM-20948_SPARKFUN_I2C,U$2,ICM-20948_SPARKFUN_I2C,
JE2835ARD-N-0001A0000-N0000001,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8,JE2835ARDN0001A0000N0000001,
LED_GREEN,D1,LEDC1005X25N_FLAT-G,
MINISTM32F4X1,U$1,MINISTM32F4X1,
MP6550_POLOLU,M1 M2 M3 M4,MP6550_POLOLU,
PINHD-1X2,JP3 JP4 JP5 JP6,1X02,
PINHD-1X4/90,JP1,1X04/90,
PINHD-1X55X2MM,JP2 JP7 JP8 JP9,1_05X2MM,
SRD-12VDC-SL-C,K1,RELAY_SRD-12VDC-SL-C,
SSSF021500,S1 S2,SSSF021500,
VBPW34S,D2 D3 D4 D5 D6 D7 D8 D9,VBPW34S,
XT60-M,J1,AMASS_XT60-M,
