Designator,Mid X,Mid Y,Layer,Rotation
C1,48.26,11.43,Top,90.0
C2,45.72,11.43,Top,90.0
C3,50.80,11.43,Top,90.0
C4,43.18,11.43,Top,90.0
D1,11.43,13.97,Top,90.0
D2,76.20, 0.00,Bottom,270.0
D3,53.88,53.88,Bottom,225.0
D4, 0.00,76.20,Bottom,180.0
D5,-53.88,53.88,Bottom,135.0
D6,-74.93, 0.00,Bottom,90.0
D7,-53.88,-53.88,Bottom,45.0
D8, 3.04,-76.07,Bottom,0.0
D9,53.88,-53.88,Bottom,315.0
J1,48.26,22.86,Top,90.0
JP1, 3.81, 2.16,Top,0.0
JP2,-3.81,83.82,Top,0.0
JP3,-19.56,68.58,Top,180.0
JP4,18.54,68.58,Top,180.0
JP5,-31.75,-3.05,Top,90.0
JP6,26.16,-60.96,Top,180.0
JP7,-6.95,49.53,Top,90.0
JP8,-1.27,49.53,Top,90.0
JP9, 4.32,49.53,Top,90.0
K1,-60.71,18.03,Top,180.0
LED1,69.85, 0.00,Bottom,0.0
LED2,49.39,49.39,Bottom,315.0
LED3, 0.00,69.85,Bottom,270.0
LED4,-49.39,49.39,Bottom,225.0
LED5,-68.45, 0.13,Bottom,180.0
LED6,-49.39,-49.39,Bottom,135.0
LED7, 2.54,-69.60,Bottom,90.0
LED8,49.39,-49.39,Bottom,45.0
M1,-23.37,83.82,Top,180.0
M2,-61.72,-27.94,Top,0.0
M3,19.81,83.82,Top,180.0
M4,29.97,-74.93,Top,180.0
R1,11.43,10.16,Top,270.0
R2,62.23, 0.00,Bottom,0.0
R3,44.00,44.00,Bottom,315.0
R4, 0.00,62.23,Bottom,270.0
R5,-44.00,44.00,Bottom,225.0
R6,-62.23, 0.00,Bottom,180.0
R7,-44.00,-44.00,Bottom,135.0
R8, 0.00,-62.23,Bottom,90.0
R9,44.00,-44.00,Bottom,45.0
R10,55.88, 0.00,Bottom,0.0
R11,39.51,39.51,Bottom,315.0
R12, 0.00,55.88,Bottom,270.0
R13,-39.51,39.51,Bottom,225.0
R14,-55.88, 0.00,Bottom,180.0
R15,-40.78,-40.02,Bottom,135.0
R16, 0.00,-55.88,Bottom,90.0
R17,39.51,-39.51,Bottom,45.0
S1,-22.73,-87.88,Top,90.0
S2,-11.76,-87.88,Top,90.0
U$1, 3.81,-78.74,Top,180.0
U$2,-49.48,-6.40,Top,90.0
