Designator,Mid X,Mid Y,Layer,Rotation
IC1, 0.00,-31.75,Top,0.0
IC2,15.88,-27.50,Top,30.0
IC3,27.50,-15.88,Top,60.0
IC4,31.75, 0.00,Top,90.0
IC5,27.50,15.87,Top,120.0
IC6,15.87,27.50,Top,150.0
IC7, 0.00,31.75,Top,180.0
IC8,-15.87,27.50,Top,210.0
IC9,-27.50,15.87,Top,240.0
IC10,-31.75, 0.00,Top,270.0
IC11,-27.50,-15.87,Top,300.0
IC12,-15.87,-27.50,Top,330.0
JP1,15.24,-11.43,Top,270.0
JP2,-22.86,16.51,Top,90.0
JP3,-22.86,-10.16,Top,90.0
JP4,-15.19, 2.03,Top,270.0
JP5,24.89,13.84,Top,270.0
JP6,16.61,-17.78,Top,0.0
U$1, 0.00, 1.27,Top,0.0
